"Cookie Consent","Cookie Consent"
"Cookie Consent Configuration","Cookie Consent Configuration"
"General","General"
"Cookie Options","Cookie Options"
"Theme","Theme"
"Use Animations","Use Animations"
"Position","Position"
"Layout","Layout"
"Message","Message"
"Button Text","Button Text"
"Cookie Name","Cookie Name"
"Name of the cookie that keeps track of users choice.","Name of the cookie that keeps track of users choice."
"Cookie Path","Cookie Path"
"URL path that the cookie ‘name’ belongs to. The cookie can only be read at this location.","URL path that the cookie ‘name’ belongs to. The cookie can only be read at this location."
"Cookie Domain","Cookie Domain"
"The domain that the cookie 'name' belongs to. The cookie can only be read on this domain.","The domain that the cookie 'name' belongs to. The cookie can only be read on this domain."
"Cookie Expiry Days","Cookie Expiry Days"
"The cookies expire date, specified in days (specify -1 for no expiry).","The cookies expire date, specified in days (specify -1 for no expiry)."
"Cookie is Secure","Cookie is Secure"
"If secure is true, the cookies will only be allowed over https.","If secure is true, the cookies will only be allowed over https."
"Link Text","Link Text"
"Banner Color","Banner Color"
"Banner Text Color","Banner Text Color"
"Button Color","Button Color"
"Button Text Color","Button Text Color"
